from	to	amount
NLD	CHE	10237472807
NLD	CHL	875433157
NLD	CHN	16594914750
NLD	CZE	10600182015
NLD	DEU	157304168308
NLD	DNK	9380330265
NLD	ESP	21710275826
NLD	EST	1262479855
NLD	FIN	6524310324
NLD	FRA	55936273583
NLD	GRC	3204165973
NLD	HUN	5334340747
NLD	IDN	1042880618
NLD	IND	2838862300
NLD	IRL	7232139837
NLD	ISL	889221196
NLD	ISR	2545913681
NLD	ITA	29887146021
NLD	JPN	5102260545
NLD	KOR	10080524172
NLD	LUX	1895514243
NLD	MEX	3147428375
NLD	NOR	5993350277
NLD	NZL	804819329
NLD	POL	21582855718
NLD	PRT	4616019149
NLD	RUS	7789008592
NLD	SAU	3658246188
NLD	SVK	2099033399
NLD	SVN	1320783204
NLD	SWE	14171311747
NLD	TUR	7373697303
NLD	USA	33111797155
NLD	ZAF	2647982491
NOR	ARG	59166814
NOR	AUS	297352379
NOR	AUT	395550747
NOR	BEL	9377293653
NOR	BRA	717791609
NOR	CAN	982585448
NOR	CHE	422770735
NOR	CHL	135486660
NOR	CHN	9335984889
NOR	CZE	290245160
NOR	DEU	30701967351
NOR	DNK	4554611739
NOR	ESP	2548227051
NOR	EST	210066672
NOR	FIN	1778559976
NOR	FRA	11597341123
NOR	GBR	32991785364
NOR	GRC	781296428
NOR	HUN	85888372
NOR	IDN	199936116
NOR	IND	1381189770
NOR	IRL	859889436
NOR	ISL	733743267
NOR	ISR	241020196
NOR	ITA	2143161392
NOR	JPN	1100457245
NOR	KOR	2530912542
NOR	LUX	33527847
NOR	MEX	199105616
NOR	NLD	12774586702
NOR	NZL	33940189
NOR	POL	3376036093
NOR	PRT	632912089
NOR	RUS	445195031
NOR	SAU	119783960
NOR	SVK	77054272
NOR	SVN	20127973
NOR	SWE	12582604377
NOR	TUR	1646855045
NOR	USA	4443207018
NOR	ZAF	81601792
NZL	ARG	20677822
NZL	AUS	5537811958
NZL	AUT	23594934
NZL	BEL	134250436
NZL	BRA	71322812
NZL	CAN	506353070
NZL	CHE	91131580
NZL	CHL	141480117
NZL	CHN	14201083458
NZL	CZE	21480756
NZL	DEU	568962275
NZL	DNK	79925409
NZL	ESP	103797400
NZL	EST	4477991
NZL	FIN	9943767
NZL	FRA	313445236
NZL	GBR	985044199
NZL	GRC	35860949
NZL	HUN	2976697
NZL	IDN	919520743
NZL	IND	321051638
NZL	IRL	59508547
NZL	ISL	1601447
NZL	ISR	16923354
NZL	ITA	172732361
NZL	JPN	2549819556
NZL	KOR	1395038783
NZL	MEX	294813336
NZL	NLD	556031248
NZL	NOR	34292057
NZL	POL	74507191
NZL	PRT	20828412
NZL	RUS	169960800
NZL	SAU	448727750
NZL	SVK	3533830
NZL	SVN	6565780
NZL	SWE	50546978
NZL	TUR	23647159
NZL	USA	4723772893
NZL	ZAF	126031856
POL	ARG	102144419
POL	AUS	1148390354
POL	AUT	7435294702
POL	BEL	8177817031
POL	BRA	649573947
POL	CAN	1488496397
POL	CHE	3458048130
POL	CHL	221612205
POL	CHN	3627690733
POL	CZE	19357712699
POL	DEU	93690676397
POL	DNK	5342768315
POL	ESP	8329460281
POL	EST	1693763997
POL	FIN	2567052834
POL	FRA	19021812114
POL	GBR	17435024057
POL	GRC	1396679388
POL	HUN	8292583620
POL	IDN	125196277
POL	IND	1113554229
POL	IRL	1630242337
POL	ISL	131336065
POL	ISR	1026607679
POL	ITA	15188711136
POL	JPN	863243944
POL	KOR	913587408
POL	LUX	524627531
POL	MEX	1872665813
POL	NLD	14121663416
POL	NOR	3424768619
POL	NZL	219716679
POL	PRT	1952959477
POL	RUS	9390822599
POL	SAU	917830317
POL	SVK	8348777254
POL	SVN	1524172866
POL	SWE	9110978127
POL	TUR	3116362106
POL	USA	8979050827
POL	ZAF	746708576
PRT	ARG	111192485
PRT	AUS	260293097
PRT	AUT	435055572
PRT	BEL	1886600265
PRT	BRA	836747378
PRT	CAN	415695934
PRT	CHE	752551056
PRT	CHL	149093765
PRT	CHN	808971229
PRT	CZE	561632071
PRT	DEU	8291312350
PRT	DNK	606426045
PRT	ESP	20113531255
PRT	EST	53746906
PRT	FIN	510710879
PRT	FRA	9871191259
PRT	GBR	3909894293
PRT	GRC	233797179
PRT	HUN	454219103
PRT	IDN	15761654
PRT	IND	168246176
PRT	IRL	488255885
PRT	ISL	15278106
PRT	ISR	411081506
PRT	ITA	3408105327
PRT	JPN	351989054
PRT	KOR	194678122
PRT	LUX	137989769
PRT	MEX	381746806
PRT	NLD	2942549263
PRT	NOR	290394247
